date,title,source,url,relevance_score,cross_referenced,times_seen
2026-03-25,AI Tools Support Personalized Learning in K–12 Education,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/ai-tools-support-personalized-learning-k-12-education,57.4,yes,1
2026-03-25,Six Artificial Intelligence Data Trends to Watch,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/six-artificial-intelligence-data-trends-watch,37.5,no,1
2026-03-25,AI Attendance Tracking: How Technology Can Help K–12 Districts Combat Chronic Absenteeism,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/ai-attendance-tracking-how-technology-can-help-k-12-districts-combat-chronic-absenteeism-perfcon,36.5,no,1
2026-03-25,"A superintendent’s view: Engagement, not enforcement, is the answer to absenteeism",eSchool News,https://www.eschoolnews.com/educational-leadership/2026/03/17/engagement-not-enforcement-is-the-answer-to-absenteeism/,30.0,no,1
2026-03-25,Nearly half of high school students now use AI in college search,eSchool News,https://www.eschoolnews.com/digital-learning/2026/03/04/nearly-half-of-high-school-students-now-use-ai-in-college-search/,30.0,no,1
2026-03-25,Presidential Artificial Intelligence Challenge,AI4K12,https://ai4k12.org/presidential-artificial-intelligence-challenge/,28.7,yes,1
2026-03-25,How K–12 Schools Can Successfully Implement AR and VR in the Classroom,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/how-k-12-schools-can-successfully-implement-ar-and-vr-classroom,28.5,no,1
2026-03-25,Network Security in Schools 2026: The Definitive Guide for K–12 Districts,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/network-security-schools-2026-definitive-guide-k-12-districts-perfcon,27.5,no,1
2026-03-25,Why digital resilience is critical for U.S. K-12 schools,eSchool News,https://www.eschoolnews.com/it-leadership/2026/03/23/why-digital-resilience-is-critical-for-u-s-k-12-schools/,26.0,no,1
2026-03-25,From fragmentation to fidelity: How Wayne-Westland built a literacy system that works,eSchool News,https://www.eschoolnews.com/innovative-teaching/2026/03/16/how-wayne-westland-built-a-literacy-system-that-works/,26.0,no,1
2026-03-25,AI Tools Support Personalized Learning in K–12 Education,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/ai-tools-support-personalized-learning-k-12-education,57.4,yes,2
2026-03-25,Six Artificial Intelligence Data Trends to Watch,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/six-artificial-intelligence-data-trends-watch,37.5,no,2
2026-03-25,AI Attendance Tracking: How Technology Can Help K–12 Districts Combat Chronic Absenteeism,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/ai-attendance-tracking-how-technology-can-help-k-12-districts-combat-chronic-absenteeism-perfcon,36.5,no,2
2026-03-25,"A superintendent’s view: Engagement, not enforcement, is the answer to absenteeism",eSchool News,https://www.eschoolnews.com/educational-leadership/2026/03/17/engagement-not-enforcement-is-the-answer-to-absenteeism/,30.0,no,2
2026-03-25,Nearly half of high school students now use AI in college search,eSchool News,https://www.eschoolnews.com/digital-learning/2026/03/04/nearly-half-of-high-school-students-now-use-ai-in-college-search/,30.0,no,2
2026-03-25,Presidential Artificial Intelligence Challenge,AI4K12,https://ai4k12.org/presidential-artificial-intelligence-challenge/,28.7,yes,2
2026-03-25,How K–12 Schools Can Successfully Implement AR and VR in the Classroom,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/how-k-12-schools-can-successfully-implement-ar-and-vr-classroom,28.5,no,2
2026-03-25,Network Security in Schools 2026: The Definitive Guide for K–12 Districts,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/network-security-schools-2026-definitive-guide-k-12-districts-perfcon,27.5,no,2
2026-03-25,Why digital resilience is critical for U.S. K-12 schools,eSchool News,https://www.eschoolnews.com/it-leadership/2026/03/23/why-digital-resilience-is-critical-for-u-s-k-12-schools/,26.0,no,2
2026-03-25,From fragmentation to fidelity: How Wayne-Westland built a literacy system that works,eSchool News,https://www.eschoolnews.com/innovative-teaching/2026/03/16/how-wayne-westland-built-a-literacy-system-that-works/,26.0,no,2
2026-03-25,AI Tools Support Personalized Learning in K–12 Education,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/ai-tools-support-personalized-learning-k-12-education,57.4,yes,3
2026-03-25,Six Artificial Intelligence Data Trends to Watch,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/six-artificial-intelligence-data-trends-watch,37.5,no,3
2026-03-25,AI Attendance Tracking: How Technology Can Help K–12 Districts Combat Chronic Absenteeism,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/ai-attendance-tracking-how-technology-can-help-k-12-districts-combat-chronic-absenteeism-perfcon,36.5,no,3
2026-03-25,"A superintendent’s view: Engagement, not enforcement, is the answer to absenteeism",eSchool News,https://www.eschoolnews.com/educational-leadership/2026/03/17/engagement-not-enforcement-is-the-answer-to-absenteeism/,30.0,no,3
2026-03-25,Nearly half of high school students now use AI in college search,eSchool News,https://www.eschoolnews.com/digital-learning/2026/03/04/nearly-half-of-high-school-students-now-use-ai-in-college-search/,30.0,no,3
2026-03-25,Presidential Artificial Intelligence Challenge,AI4K12,https://ai4k12.org/presidential-artificial-intelligence-challenge/,28.7,yes,3
2026-03-25,How K–12 Schools Can Successfully Implement AR and VR in the Classroom,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/how-k-12-schools-can-successfully-implement-ar-and-vr-classroom,28.5,no,3
2026-03-25,Network Security in Schools 2026: The Definitive Guide for K–12 Districts,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/network-security-schools-2026-definitive-guide-k-12-districts-perfcon,27.5,no,3
